customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST_00074,Male,0,Yes,Yes,11,Yes,No,DSL,No internet service,No,No internet service,Yes,Yes,No internet service,Month-to-month,No,Electronic check,40.95,495.3,Yes
CUST_00075,Female,1,No,Yes,44,Yes,Yes,No,No,No,No internet service,Yes,Yes,Yes,Two year,No,Electronic check,115.1,5063.21,No
CUST_00076,Female,1,Yes,No,33,Yes,No,DSL,No internet service,No internet service,No,No internet service,No,No,Month-to-month,Yes,Electronic check,58.08,1894.53,No
CUST_00077,Female,0,Yes,Yes,71,Yes,No,Fiber optic,Yes,Yes,No,No internet service,Yes,No internet service,Two year,Yes,Mailed check,104.78,7396.7,No
CUST_00078,Male,0,No,No,46,Yes,No,Fiber optic,No internet service,No,No internet service,Yes,No,No,Month-to-month,No,Credit card (automatic),58.5,2641.82,Yes
CUST_00079,Female,0,Yes,No,20,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),81.64,1673.22,No
CUST_00080,Male,1,No,No,40,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Credit card (automatic),58.58,2349.64,Yes
CUST_00081,Female,0,No,No,21,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,92.63,1905.97,Yes
CUST_00082,Male,1,Yes,Yes,20,Yes,No phone service,Fiber optic,No,No,Yes,No internet service,Yes,No,Month-to-month,Yes,Bank transfer (automatic),99.36,1972.31,Yes
CUST_00083,Female,0,Yes,No,27,Yes,No phone service,Fiber optic,No,Yes,No,No internet service,No,No,Month-to-month,Yes,Mailed check,103.72,2808.97,Yes
CUST_00084,Male,0,Yes,No,66,Yes,Yes,DSL,No,No,No internet service,No internet service,No,Yes,Month-to-month,Yes,Bank transfer (automatic),40.51,2715.86,No
CUST_00085,Male,1,No,Yes,70,Yes,Yes,Fiber optic,No,No,Yes,No,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),101.89,7156.42,No
CUST_00086,Female,0,No,No,13,Yes,Yes,No,No internet service,No,Yes,No internet service,No internet service,No,One year,Yes,Electronic check,58.8,756.28,Yes
CUST_00087,Male,0,Yes,No,72,Yes,No,Fiber optic,Yes,No,Yes,No,No internet service,No internet service,One year,Yes,Electronic check,79.3,5663.58,No
CUST_00088,Female,0,No,No,51,Yes,No,Fiber optic,Yes,Yes,No internet service,No internet service,No,Yes,Month-to-month,Yes,Electronic check,24.3,1253.45,No
CUST_00089,Female,0,No,No,42,Yes,No,Fiber optic,No internet service,Yes,No internet service,No internet service,Yes,Yes,Two year,Yes,Electronic check,78.56,3285.96,No
CUST_00090,Female,0,Yes,No,70,Yes,No,No,No,No internet service,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),101.29,7047.3,No
CUST_00091,Female,0,Yes,No,18,Yes,Yes,DSL,Yes,No internet service,No internet service,No,No,Yes,Month-to-month,No,Bank transfer (automatic),46.58,871.48,No
CUST_00092,Female,1,Yes,Yes,26,Yes,Yes,Fiber optic,No,No internet service,No,No internet service,No,Yes,Two year,No,Electronic check,64.62,1723.77,Yes
CUST_00093,Female,1,Yes,Yes,17,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),100.97,1719.09,No
CUST_00094,Female,0,Yes,Yes,12,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),48.33,541.56,No
CUST_00095,Female,0,Yes,No,0,Yes,No,Fiber optic,Yes,No internet service,No internet service,No,Yes,No,Two year,Yes,Credit card (automatic),110.84,0.0,No
CUST_00096,Female,0,Yes,No,33,Yes,No,Fiber optic,No internet service,No,No,No internet service,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),33.6,1066.52,No
CUST_00097,Female,0,Yes,No,12,Yes,No,No,No,Yes,No,Yes,Yes,No,One year,No,Bank transfer (automatic),66.03,822.55,No
CUST_00098,Female,1,Yes,No,50,Yes,No phone service,Fiber optic,No,No,Yes,No internet service,No,Yes,Two year,No,Credit card (automatic),82.02,4105.11,No
CUST_00099,Male,0,Yes,No,0,No,Yes,DSL,No internet service,No,Yes,No internet service,No,Yes,One year,Yes,Credit card (automatic),65.61,0.0,No
CUST_00100,Male,0,No,No,27,Yes,No,DSL,Yes,No internet service,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,59.68,1634.35,No
CUST_00101,Female,0,No,No,31,Yes,Yes,Fiber optic,No,No internet service,No,Yes,No,No,Two year,No,Bank transfer (automatic),82.31,2585.3,No
CUST_00102,Female,0,Yes,Yes,71,Yes,Yes,Fiber optic,No internet service,No internet service,No internet service,No,No,Yes,Month-to-month,No,Mailed check,107.7,7674.99,No
CUST_00103,Female,0,No,No,54,Yes,No phone service,DSL,Yes,Yes,No internet service,Yes,Yes,No internet service,One year,No,Electronic check,84.93,4618.33,No
CUST_00104,Female,0,No,No,25,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,One year,No,Electronic check,81.03,2062.54,Yes
CUST_00105,Female,0,No,Yes,13,Yes,Yes,No,No internet service,No internet service,No,No,No,Yes,One year,No,Electronic check,93.26,1209.21,Yes
CUST_00106,Female,0,No,No,67,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),58.8,3955.53,Yes
CUST_00107,Female,0,No,No,62,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,Yes,Electronic check,19.75,1233.54,No
CUST_00108,Female,0,No,Yes,13,Yes,Yes,Fiber optic,No,No internet service,No,No,No,No,Month-to-month,No,Credit card (automatic),112.83,1429.58,Yes
CUST_00109,Male,0,Yes,Yes,26,Yes,No,Fiber optic,No,No,No internet service,No,No internet service,No internet service,Month-to-month,No,Credit card (automatic),48.93,1246.08,No
CUST_00110,Female,0,Yes,Yes,40,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,95.59,3790.78,No
CUST_00111,Male,0,No,No,2,Yes,No,Fiber optic,No internet service,Yes,No internet service,No,Yes,No,Two year,No,Bank transfer (automatic),77.52,169.96,No
CUST_00112,Female,0,No,No,58,Yes,Yes,No,No,No internet service,No,No,Yes,No internet service,Month-to-month,Yes,Mailed check,88.12,5147.28,No
CUST_00113,Female,0,Yes,No,22,Yes,Yes,DSL,No,No internet service,No,No,No,Yes,Month-to-month,No,Electronic check,100.6,2239.03,Yes
CUST_00114,Male,0,No,No,17,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,One year,Yes,Bank transfer (automatic),67.75,1139.47,No
CUST_00115,Female,1,No,No,40,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Two year,Yes,Mailed check,21.44,873.41,No
CUST_00116,Male,1,No,No,7,Yes,No phone service,DSL,No,No,Yes,No internet service,No internet service,No,Month-to-month,No,Credit card (automatic),115.29,798.03,Yes
CUST_00117,Female,0,No,No,31,Yes,Yes,Fiber optic,No internet service,Yes,No,No,No,No internet service,One year,Yes,Credit card (automatic),99.09,3049.24,No
CUST_00118,Female,1,No,No,40,Yes,Yes,DSL,Yes,Yes,No,No internet service,No,Yes,Month-to-month,Yes,Credit card (automatic),82.88,3354.55,Yes
CUST_00119,Male,0,Yes,No,44,No,Yes,Fiber optic,No,No,Yes,No internet service,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),107.76,4711.91,No
CUST_00120,Female,0,Yes,No,8,No,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,111.31,903.92,No
CUST_00121,Male,0,No,No,47,Yes,Yes,Fiber optic,No internet service,Yes,No,No,No,No,One year,No,Bank transfer (automatic),106.61,5035.73,No
CUST_00122,Female,0,Yes,No,23,Yes,No phone service,No,No internet service,No internet service,No internet service,Yes,No,No,Month-to-month,No,Mailed check,32.38,756.59,Yes
CUST_00123,Male,0,No,Yes,43,Yes,No,DSL,No,No internet service,No internet service,No,No,No,Two year,No,Bank transfer (automatic),91.61,3901.24,No
CUST_00124,Male,0,No,Yes,57,Yes,Yes,No,No,Yes,No,No internet service,Yes,No internet service,Two year,Yes,Electronic check,50.21,2838.93,No
CUST_00125,Female,0,No,No,65,Yes,Yes,No,No,Yes,No internet service,No internet service,No,Yes,Month-to-month,No,Credit card (automatic),22.28,1399.66,Yes
CUST_00126,Female,0,No,Yes,17,Yes,Yes,DSL,No,No internet service,No,No,No,Yes,Month-to-month,No,Electronic check,46.17,810.76,Yes
CUST_00127,Male,0,No,No,28,Yes,Yes,No,Yes,No internet service,No internet service,No,No,No,Month-to-month,Yes,Bank transfer (automatic),84.12,2323.87,Yes
CUST_00128,Female,1,No,No,1,Yes,No,Fiber optic,No,No,No,No internet service,Yes,Yes,Two year,No,Electronic check,110.19,145.81,Yes
CUST_00129,Female,0,No,Yes,67,Yes,No,No,Yes,Yes,No,Yes,No internet service,No internet service,Month-to-month,No,Credit card (automatic),87.77,5847.14,No
CUST_00130,Female,0,No,Yes,38,Yes,No,No,No,Yes,Yes,No,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),76.75,2903.68,Yes
CUST_00131,Male,0,No,Yes,72,Yes,No,No,No,No internet service,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),51.7,3686.62,Yes
CUST_00132,Male,0,Yes,Yes,40,Yes,No,Fiber optic,No,No internet service,No internet service,Yes,No internet service,Yes,One year,Yes,Bank transfer (automatic),40.37,1618.07,No
CUST_00133,Male,0,No,No,70,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,73.71,5169.08,No
CUST_00134,Male,0,Yes,No,21,Yes,Yes,Fiber optic,Yes,No internet service,No,Yes,No,Yes,One year,No,Electronic check,66.86,1376.91,Yes
CUST_00135,Male,0,Yes,No,48,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,No,Mailed check,87.2,4176.33,Yes
CUST_00136,Male,0,No,No,27,Yes,No,DSL,Yes,Yes,No internet service,No,No,No,Month-to-month,Yes,Electronic check,72.3,1913.81,Yes
CUST_00137,Male,0,Yes,No,15,Yes,No,Fiber optic,Yes,Yes,No internet service,No,No,No,Two year,No,Electronic check,60.0,928.78,No
CUST_00138,Male,0,No,No,67,Yes,No,No,No,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,103.58,6968.52,No
CUST_00139,Male,0,No,No,61,Yes,No,No,No internet service,No internet service,No,Yes,No internet service,No,One year,Yes,Mailed check,98.31,5972.76,No
CUST_00140,Female,0,No,No,35,No,No,No,No internet service,No internet service,No,No,Yes,No,Month-to-month,Yes,Electronic check,100.16,3482.02,Yes
CUST_00141,Male,0,No,Yes,21,Yes,No,DSL,No internet service,Yes,No internet service,No,No,No,Month-to-month,No,Bank transfer (automatic),27.2,582.17,No
CUST_00142,Female,0,Yes,Yes,10,Yes,No,Fiber optic,Yes,No,Yes,No internet service,No,No,Two year,No,Electronic check,33.07,341.6,No
CUST_00143,Female,1,Yes,Yes,41,Yes,No,Fiber optic,No,No,No internet service,No,No internet service,No,Month-to-month,Yes,Credit card (automatic),38.24,1591.17,No
CUST_00144,Female,1,No,Yes,54,No,Yes,DSL,Yes,Yes,Yes,No internet service,No,No,Month-to-month,No,Mailed check,109.9,5894.25,No
CUST_00145,Male,1,Yes,No,72,Yes,Yes,Fiber optic,Yes,No internet service,Yes,No internet service,Yes,No,Month-to-month,Yes,Mailed check,54.54,3944.08,No
CUST_00146,Male,0,Yes,Yes,34,Yes,Yes,Fiber optic,No internet service,No,No,No internet service,No,Yes,Month-to-month,No,Electronic check,84.16,2884.99,No
CUST_00147,Male,0,Yes,No,56,Yes,No,No,No,No,No internet service,No internet service,No,No,Month-to-month,Yes,Mailed check,22.28,1225.57,No
CUST_00148,Male,0,No,No,33,Yes,No,No,No,Yes,Yes,Yes,No internet service,No,One year,Yes,Credit card (automatic),92.05,3013.47,Yes
CUST_00149,Female,0,Yes,No,72,Yes,Yes,No,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),95.07,6861.5,No
CUST_00150,Male,0,Yes,No,69,Yes,No,Fiber optic,Yes,No internet service,No internet service,No internet service,Yes,No,Two year,Yes,Credit card (automatic),93.3,6399.36,Yes
CUST_00151,Male,0,Yes,Yes,3,Yes,Yes,DSL,Yes,Yes,No,Yes,No internet service,No internet service,Month-to-month,No,Credit card (automatic),22.39,71.33,No
CUST_00152,Male,1,No,No,45,Yes,No phone service,No,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),27.93,1257.04,Yes
CUST_00153,Male,0,Yes,Yes,10,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,93.0,947.26,Yes
CUST_00154,Male,1,Yes,No,60,Yes,No phone service,Fiber optic,No,No,No internet service,No internet service,No internet service,No,One year,No,Electronic check,81.31,4889.22,No
CUST_00155,Female,0,No,No,34,Yes,Yes,DSL,No,Yes,No,No internet service,No,Yes,One year,No,Bank transfer (automatic),54.77,1893.62,No
CUST_00156,Male,0,Yes,No,68,Yes,No phone service,No,Yes,Yes,No,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),73.99,4987.41,No
CUST_00157,Female,0,No,No,56,Yes,Yes,DSL,No internet service,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),18.37,1043.39,No
CUST_00158,Male,0,No,No,10,Yes,No,DSL,No,No internet service,No internet service,No,No,No internet service,Month-to-month,No,Bank transfer (automatic),61.55,637.26,Yes
CUST_00159,Female,0,No,Yes,11,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Credit card (automatic),34.87,412.82,No
CUST_00160,Male,0,No,Yes,42,No,No,DSL,Yes,Yes,No internet service,No internet service,No,Yes,Two year,No,Mailed check,115.56,4840.54,Yes
CUST_00161,Male,0,No,No,18,Yes,No phone service,No,No,No internet service,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),50.01,879.43,Yes
CUST_00162,Female,0,No,No,67,Yes,No,DSL,Yes,No internet service,Yes,No internet service,Yes,No,Month-to-month,No,Electronic check,98.5,6615.96,No
CUST_00163,Female,1,Yes,No,58,Yes,No,No,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,30.85,1790.8,No
CUST_00164,Female,0,No,Yes,1,No,No,Fiber optic,No,No internet service,Yes,No internet service,No,No,Month-to-month,Yes,Electronic check,36.19,23.82,No
CUST_00165,Male,1,Yes,No,7,Yes,Yes,Fiber optic,No,No,Yes,No internet service,No,Yes,Month-to-month,No,Credit card (automatic),88.5,644.01,Yes
CUST_00166,Female,0,Yes,No,21,Yes,Yes,No,No internet service,Yes,No,Yes,No,Yes,Month-to-month,No,Electronic check,96.07,2015.58,Yes
CUST_00167,Male,0,No,No,20,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,Yes,Electronic check,108.77,2171.2,No
CUST_00168,Male,0,Yes,No,28,Yes,No,Fiber optic,No,No,Yes,No internet service,No internet service,No,Month-to-month,Yes,Electronic check,88.14,2453.77,No
CUST_00169,Female,0,Yes,No,36,No,No,DSL,Yes,Yes,No internet service,No,No,Yes,One year,No,Bank transfer (automatic),89.47,3175.83,No
CUST_00170,Female,0,Yes,Yes,28,Yes,No phone service,DSL,No internet service,Yes,Yes,Yes,No internet service,No,Two year,No,Electronic check,41.49,1195.08,Yes
CUST_00171,Male,0,No,No,36,Yes,Yes,No,Yes,No internet service,No internet service,No internet service,No internet service,No,Month-to-month,Yes,Electronic check,113.54,4071.71,Yes
CUST_00172,Male,0,Yes,Yes,20,Yes,No,DSL,Yes,No,No,No,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),89.99,1793.46,No
